_id,name,title,rank,publicationDate,language_detect
5714dec325ac0d8aee3809ba,A Dozen Furies,The Cycle,188080.0,2009-03-24,english
5714dec325ac0d8aee3809bb,A Dozen Furies,Into Another Life,174628.0,2009-03-24,english
5714dec325ac0d8aee3809bc,A Dozen Furies,Lost In A Fantasy,189145.0,2009-03-24,english
5714dec325ac0d8aee3809bd,A Dozen Furies,Nightmare Of A Martyr,149839.0,2009-03-24,english
5714dec325ac0d8aee3809be,A Dozen Furies,138,156233.0,2009-03-24,english
5714dec325ac0d8aee3809bf,A Dozen Furies,The Ill Will,135386.0,2009-03-24,english
5714dec325ac0d8aee3809c0,A Dozen Furies,Concept From Fire,142959.0,2009-03-24,english
5714dec325ac0d8aee3809c1,A Dozen Furies,Idea And Some Rope,184931.0,2009-03-24,english
5714dec325ac0d8aee3809c2,A Dozen Furies,Cycle,188080.0,2009-03-24,english
5714dec325ac0d8aee3809c3,A Dozen Furies,Gift,125916.0,2009-03-24,english
5714dec325ac0d8aee3809c4,A Dozen Furies,Everlasting Grudge,125837.0,2009-03-24,english
5714dec325ac0d8aee3809c5,A Dozen Furies,An Idea And Some Rope,184931.0,2009-03-24,english
5714dec325ac0d8aee3809c9,A Different Breed Of Killer,Dawning,257711.0,2010-03-16,english
5714dec325ac0d8aee3809ca,A Different Breed Of Killer,Liberation Of A Giant,288389.0,2010-03-16,english
5714dec325ac0d8aee3809cb,A Different Breed Of Killer,The Accidentist,230370.0,2010-03-16,english
5714dec325ac0d8aee3809cc,A Different Breed Of Killer,"I, Colossus",302708.0,2010-03-16,english
5714dec325ac0d8aee3809cd,A Different Breed Of Killer,Autonomy,250874.0,2010-03-16,english
5714dec325ac0d8aee3809ce,A Different Breed Of Killer,Omega,257711.0,2010-03-16,english
5714dec325ac0d8aee3809d0,A Different Breed Of Killer,The Cleansing Apparatus,257711.0,2010-03-16,english
5714dec325ac0d8aee3809d1,A Different Breed Of Killer,The Glorious Fall,292401.0,2010-03-16,english
5714dec325ac0d8aee3809d2,A Different Breed Of Killer,Aural Apocalypse,264003.0,2010-03-16,english
5714dec325ac0d8aee3809d3,A Different Breed Of Killer,The Accidentist,230370.0,2010-03-16,english
5714dec325ac0d8aee3809d8,A Dream Too Late,14th & Knott,125938.0,2007-11-06,english
5714dec325ac0d8aee3809d9,A Dream Too Late,Do You Believe? (In Ghosts),161780.0,2007-11-06,english
5714dec325ac0d8aee3809da,A Dream Too Late,Intermission To The Moon,161008.0,2007-11-06,english
5714dec325ac0d8aee3809db,A Dream Too Late,Trendsetter,114350.0,2007-11-06,english
5714dec325ac0d8aee3809dc,A Dream Too Late,The Life,125884.0,2007-11-06,english
5714dec325ac0d8aee3809de,A Dream Too Late,Be Honest,218648.0,2007-11-06,english
5714dec325ac0d8aee3809df,A Dream Too Late,Can I Start New?,98198.0,2007-11-06,english
5714dec325ac0d8aee3809e0,A Dream Too Late,Daylight,71405.0,2007-11-06,english
5714dec325ac0d8aee3809e1,A Dream Too Late,Airsick,71405.0,2007-11-06,english
5714dec325ac0d8aee3809e2,A Dream Too Late,A Night Polaris,98198.0,2007-11-06,english
5714dec325ac0d8aee3809e3,A Dream Too Late,14th And Knott,125938.0,2007-11-06,english
5714dec325ac0d8aee3809e4,A Dream Too Late,Can I Start A New,98198.0,2007-11-06,english
5714dec325ac0d8aee3809e5,A Dream Too Late,City Park,161593.0,2007-11-06,english
5714dec325ac0d8aee3809ee,A Dream Of Poe,Lady Of Shalott,100000.0,2016-05-30,english
5714dec325ac0d8aee3809f3,A Dream Of Poe,Neophyte,100000.0,2016-05-30,english
